
강수일수
지점/지역명 : 양평

평균 강수일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
2019,1.0,4.0,7.0,9.0,3.0,9.0,16.0,13.0,10.0,6.0,8.0,10.0,96.0,7
2020,6.0,10.0,5.0,5.0,13.0,10.0,18.0,19.0,10.0,2.0,6.0,4.0,108.0,4
2021,11.0,6.0,9.0,9.0,16.0,11.0,11.0,13.0,8.0,13.0,8.0,9.0,124.0,1
2022,6.0,3.0,9.0,7.0,5.0,12.0,17.0,21.0,4.0,6.0,7.0,8.0,105.0,6
2023,7.0,2.0,3.0,11.0,7.0,11.0,16.0,11.0,12.0,6.0,8.0,12.0,106.0,5
2024,8.0,13.0,10.0,6.0,7.0,9.0,21.0,10.0,10.0,8.0,6.0,6.0,114.0,2
2025,7.0,3.0,9.0,8.0,13.0,10.0,12.0,12.0,15.0,14.0,4.0,3.0,110.0,3
평균,6.6,5.9,7.4,7.9,9.1,10.3,15.9,14.1,9.9,7.9,6.7,7.4


평균 계절별 강수일수
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월)
2019,19.0,38.0,24.0,26.0
2020,23.0,47.0,18.0,21.0
2021,34.0,35.0,29.0,18.0
2022,21.0,50.0,17.0,17.0
2023,21.0,38.0,26.0,33.0
2024,23.0,40.0,24.0,16.0
2025,30.0,34.0,33.0,3.0
평균	,24.4,40.3,24.4,19.1


강수일수 관측값
연도,날짜,지점,관측값
2019,1117,양평,40.5
2019,1118,양평,13.5
2019,1124,양평,1
2019,1201,양평,3.9
2019,1210,양평,1.9
2019,1211,양평,0.9
2019,1213,양평,0.1
2019,1214,양평,0.5
2019,1217,양평,7.9
2019,1223,양평,2.2
2019,1226,양평,1.5
2019,1229,양평,0.4
2019,1230,양평,0.7
2020,0101,양평,0.1
2020,0106,양평,2.5
2020,0107,양평,57.1
2020,0108,양평,3.3
2020,0119,양평,0.7
2020,0128,양평,0.4
2020,0204,양평,1.5
2020,0212,양평,7.3
2020,0215,양평,1
2020,0216,양평,9.1
2020,0217,양평,1.8
2020,0221,양평,2.3
2020,0222,양평,4.3
2020,0225,양평,18.6
2020,0228,양평,4
2020,0229,양평,0.2
2020,0310,양평,8.1
2020,0313,양평,0.1
2020,0317,양평,0.1
2020,0326,양평,1.4
2020,0327,양평,6
2020,0417,양평,5
2020,0418,양평,0.1
2020,0419,양평,11.5
2020,0420,양평,0.2
2020,0421,양평,0.6
2020,0502,양평,0.1
2020,0503,양평,0.1
2020,0505,양평,0.1
2020,0508,양평,1.4
2020,0509,양평,28.8
2020,0510,양평,1.3
2020,0511,양평,0.1
2020,0512,양평,3
2020,0515,양평,15.1
2020,0516,양평,0.3
2020,0518,양평,40.8
2020,0519,양평,5.3
2020,0524,양평,6.4
2020,0601,양평,0.8
2020,0610,양평,11.4
2020,0611,양평,0.2
2020,0613,양평,2
2020,0614,양평,4.4
2020,0624,양평,29
2020,0625,양평,5.4
2020,0626,양평,0.8
2020,0629,양평,8.4
2020,0630,양평,39.7
2020,0704,양평,0.5
2020,0710,양평,0.1
2020,0712,양평,4.1
2020,0713,양평,32.2
2020,0714,양평,9.7
2020,0715,양평,1.7
2020,0717,양평,2.2
2020,0719,양평,13.2
2020,0720,양평,1.6
2020,0721,양평,0.1
2020,0722,양평,9
2020,0723,양평,73.7
2020,0724,양평,0.5
2020,0727,양평,1.1
2020,0728,양평,1.7
2020,0729,양평,25.5
2020,0730,양평,1.7
2020,0731,양평,5.3
2020,0801,양평,50.4
2020,0802,양평,46.1
2020,0803,양평,53.1
2020,0804,양평,17.4
2020,0805,양평,26.7
2020,0806,양평,116.1
2020,0808,양평,8.5
2020,0809,양평,99.4
2020,0810,양평,9.9
2020,0811,양평,45.7
2020,0814,양평,0.1
2020,0815,양평,81.1
2020,0822,양평,23.6
2020,0826,양평,0.1
2020,0827,양평,4.4
2020,0828,양평,11
2020,0829,양평,18.4
2020,0830,양평,12
2020,0831,양평,0.1
2020,0902,양평,29.1
2020,0903,양평,37.1
2020,0906,양평,11.7
2020,0907,양평,26.8
2020,0908,양평,0.3
2020,0909,양평,14.6
2020,0911,양평,0.9
2020,0912,양평,10.6
2020,0916,양평,7.9
2020,0919,양평,0.4
2020,1003,양평,4.1
2020,1004,양평,0.1
2020,1101,양평,6.6
2020,1102,양평,0.1
2020,1103,양평,0.9
2020,1118,양평,6.3
2020,1119,양평,40.1
2020,1122,양평,4
2020,1213,양평,3.5
2020,1218,양평,0.1
2020,1228,양평,0.8
2020,1229,양평,0.2
2021,0106,양평,5.3
2021,0107,양평,0.6
2021,0112,양평,1.8
2021,0115,양평,0.5
2021,0117,양평,0.5
2021,0118,양평,2.7
2021,0121,양평,7.4
2021,0122,양평,0.2
2021,0126,양평,3.3
2021,0128,양평,1.9
2021,0130,양평,0.1
2021,0201,양평,2.2
2021,0203,양평,1.9
2021,0204,양평,1
2021,0214,양평,0.1
2021,0215,양평,0.6
2021,0216,양평,1
2021,0301,양평,72.2
2021,0302,양평,0.1
2021,0312,양평,1.5
2021,0315,양평,0.2
2021,0316,양평,1.7
2021,0320,양평,4.6
2021,0327,양평,19.1
2021,0328,양평,6.4
2021,0329,양평,0.1
2021,0403,양평,47.9
2021,0404,양평,1.4
2021,0412,양평,20.5
2021,0413,양평,4.4
2021,0416,양평,0.1
2021,0417,양평,0.6
2021,0428,양평,1.2
2021,0429,양평,3.8
2021,0430,양평,16.3
2021,0501,양평,6.2
2021,0502,양평,0.1
2021,0504,양평,13
2021,0505,양평,0.6
2021,0507,양평,6.3
2021,0515,양평,8.1
2021,0516,양평,49.1
2021,0517,양평,4.4
2021,0520,양평,0.5
2021,0521,양평,9.9
2021,0525,양평,6.1
2021,0527,양평,5.6
2021,0528,양평,19.6
2021,0529,양평,0.6
2021,0530,양평,8.9
2021,0531,양평,9.7
2021,0601,양평,0.3
2021,0603,양평,13.5
2021,0604,양평,0.3
2021,0610,양평,1.9
2021,0611,양평,17.3
2021,0615,양평,1.9
2021,0618,양평,6.8
2021,0622,양평,12.3
2021,0623,양평,4.3
2021,0626,양평,8.4
2021,0628,양평,1.8
2021,0703,양평,43.2
2021,0704,양평,24.1
2021,0707,양평,2
2021,0708,양평,3.1
2021,0709,양평,0.4
2021,0710,양평,5.7
2021,0711,양평,15.6
2021,0715,양평,17.3
2021,0716,양평,3.2
2021,0727,양평,9.8
2021,0731,양평,2.9
2021,0801,양평,26.1
2021,0802,양평,3.1
2021,0808,양평,24
2021,0810,양평,18.7
2021,0818,양평,1.9
2021,0820,양평,0.5
2021,0821,양평,30.3
2021,0823,양평,9.9
2021,0824,양평,7.4
2021,0825,양평,3.8
2021,0827,양평,0.7
2021,0829,양평,2.2
2021,0831,양평,62
2021,0901,양평,18.7
2021,0906,양평,5.8
2021,0907,양평,29.7
2021,0908,양평,1.3
2021,0921,양평,38.8
2021,0922,양평,31.1
2021,0928,양평,1.6
2021,0929,양평,21.9
2021,1001,양평,4.3
2021,1002,양평,1.3
2021,1006,양평,4.1
2021,1007,양평,1.4
2021,1008,양평,2.5
2021,1009,양평,0.1
2021,1010,양평,11.6
2021,1011,양평,0.1
2021,1015,양평,1.3
2021,1016,양평,1.2
2021,1018,양평,0.2
2021,1019,양평,5.9
2021,1031,양평,4.3
2021,1108,양평,20.6
2021,1109,양평,2.2
2021,1110,양평,0.1
2021,1121,양평,1.6
2021,1122,양평,4.2
2021,1123,양평,0.1
2021,1125,양평,0.2
2021,1130,양평,26.9
2021,1202,양평,0.4
2021,1203,양평,0.6
2021,1210,양평,0.1
2021,1214,양평,0.9
2021,1215,양평,2.3
2021,1218,양평,0.9
2021,1219,양평,1.5
2021,1220,양평,0.1
2021,1229,양평,0.4
2022,0102,양평,0.2
2022,0111,양평,0.9
2022,0117,양평,0.1
2022,0119,양평,1.1
2022,0125,양평,1
2022,0131,양평,0.3
2022,0201,양평,2.1
2022,0214,양평,0.6
2022,0226,양평,4
2022,0301,양평,2.9
2022,0313,양평,24.4
2022,0314,양평,8
2022,0317,양평,0.1
2022,0319,양평,19.7
2022,0320,양평,0.2
2022,0325,양평,10.7
2022,0326,양평,22.2
2022,0330,양평,0.6
2022,0409,양평,0.3
2022,0413,양평,21.1
2022,0414,양평,0.8
2022,0415,양평,0.4
2022,0425,양평,1.3
2022,0426,양평,12.2
2022,0429,양평,15.5
2022,0508,양평,3.1
2022,0518,양평,0.9
2022,0525,양평,3.6
2022,0526,양평,0.2
2022,0530,양평,0.1
2022,0605,양평,0.8
2022,0606,양평,9.7
2022,0610,양평,0.3
2022,0613,양평,0.1
2022,0615,양평,32.5
2022,0616,양평,4.9
2022,0623,양평,95.7
2022,0624,양평,21.1
2022,0627,양평,19.8
2022,0628,양평,0.5
2022,0629,양평,41.7
2022,0630,양평,181.6
2022,0701,양평,3.1
2022,0705,양평,0.2
2022,0706,양평,1.4
2022,0707,양평,2.1
2022,0708,양평,2.2
2022,0711,양평,17.2
2022,0713,양평,133.3
2022,0714,양평,0.6
2022,0716,양평,6.8
2022,0719,양평,1.1
2022,0720,양평,0.5
2022,0721,양평,12.5
2022,0722,양평,22.5
2022,0723,양평,28.6
2022,0724,양평,3.3
2022,0730,양평,1.9
2022,0731,양평,18.6
2022,0801,양평,19.2
2022,0802,양평,4.5
2022,0803,양평,136.6
2022,0804,양평,1.2
2022,0805,양평,0.5
2022,0808,양평,261.9
2022,0809,양평,249.8
2022,0810,양평,24.8
2022,0811,양평,85.7
2022,0813,양평,1.6
2022,0814,양평,43.5
2022,0815,양평,2.5
2022,0817,양평,10.4
2022,0819,양평,39.1
2022,0822,양평,0.7
2022,0823,양평,1.9
2022,0825,양평,2
2022,0827,양평,12
2022,0829,양평,1.1
2022,0830,양평,46.3
2022,0831,양평,2.1
2022,0904,양평,20.6
2022,0905,양평,143.5
2022,0906,양평,52.4
2022,0923,양평,0.5
2022,1002,양평,7.4
2022,1003,양평,38.7
2022,1004,양평,38
2022,1005,양평,0.5
2022,1009,양평,13.3
2022,1010,양평,2.2
2022,1112,양평,26.6
2022,1115,양평,2.6
2022,1122,양평,0.3
2022,1125,양평,0.9
2022,1126,양평,1.4
2022,1128,양평,11
2022,1129,양평,2.2
2022,1203,양평,0.2
2022,1206,양평,0.1
2022,1207,양평,0.9
2022,1212,양평,1.4
2022,1213,양평,2.1
2022,1215,양평,2.2
2022,1217,양평,0.1
2022,1221,양평,3.7
2023,0106,양평,0.9
2023,0107,양평,2.4
2023,0113,양평,28
2023,0114,양평,3.2
2023,0115,양평,6.8
2023,0120,양평,1.7
2023,0126,양평,0.5
2023,0210,양평,0.7
2023,0219,양평,0.1
2023,0309,양평,0.9
2023,0312,양평,7.6
2023,0323,양평,0.7
2023,0404,양평,5.5
2023,0405,양평,42.8
2023,0406,양평,3.6
2023,0411,양평,2.1
2023,0415,양평,4.3
2023,0418,양평,1.6
2023,0425,양평,1.2
2023,0426,양평,0.2
2023,0428,양평,0.2
2023,0429,양평,11.6
2023,0430,양평,0.4
2023,0505,양평,34.3
2023,0506,양평,43
2023,0521,양평,0.1
2023,0526,양평,0.3
2023,0527,양평,15.7
2023,0528,양평,39.4
2023,0529,양평,10.7
2023,0606,양평,0.1
2023,0608,양평,0.6
2023,0609,양평,7
2023,0611,양평,1.4
2023,0620,양평,1.5
2023,0621,양평,36.5
2023,0622,양평,0.8
2023,0626,양평,47.6
2023,0627,양평,5.9
2023,0629,양평,59.2
2023,0630,양평,0.5
2023,0704,양평,43
2023,0705,양평,31.5
2023,0709,양평,36.9
2023,0710,양평,42.8
2023,0711,양평,92.5
2023,0712,양평,0.1
2023,0713,양평,44.4
2023,0714,양평,114.5
2023,0715,양평,7.1
2023,0716,양평,0.4
2023,0717,양평,8.4
2023,0718,양평,34.1
2023,0722,양평,2.2
2023,0723,양평,38.1
2023,0724,양평,2.8
2023,0726,양평,27.5
2023,0809,양평,0.5
2023,0810,양평,49.7
2023,0811,양평,14.2
2023,0812,양평,2.7
2023,0822,양평,0.2
2023,0823,양평,73
2023,0824,양평,32.3
2023,0825,양평,0.7
2023,0828,양평,2.5
2023,0829,양평,21.8
2023,0830,양평,10.1
2023,0903,양평,3.7
2023,0904,양평,2.2
2023,0913,양평,34.9
2023,0914,양평,0.8
2023,0915,양평,4.8
2023,0916,양평,16
2023,0917,양평,7.4
2023,0920,양평,26
2023,0925,양평,2.8
2023,0926,양평,17.3
2023,0927,양평,16
2023,0930,양평,1.5
2023,1004,양평,13.2
2023,1009,양평,0.2
2023,1014,양평,3.6
2023,1019,양평,11.3
2023,1021,양평,0.4
2023,1026,양평,25.2
2023,1105,양평,19.1
2023,1106,양평,59.5
2023,1107,양평,1.3
2023,1116,양평,5.1
2023,1117,양평,0.4
2023,1123,양평,0.3
2023,1127,양평,3.9
2023,1129,양평,0.3
2023,1202,양평,0.1
2023,1206,양평,11.4
2023,1211,양평,8.3
2023,1212,양평,0.3
2023,1214,양평,15.3
2023,1215,양평,35.5
2023,1216,양평,2.4
2023,1220,양평,0.9
2023,1224,양평,0.6
2023,1225,양평,0.8
2023,1230,양평,11.3
2023,1231,양평,8.7
2024,0103,양평,0.6
2024,0106,양평,1
2024,0109,양평,2.2
2024,0114,양평,3.4
2024,0117,양평,7.8
2024,0118,양평,1.5
2024,0120,양평,0.4
2024,0121,양평,0.2
2024,0203,양평,0.3
2024,0205,양평,1.8
2024,0206,양평,0.2
2024,0214,양평,0.1
2024,0215,양평,5.1
2024,0218,양평,16.8
2024,0219,양평,21.9
2024,0220,양평,1.4
2024,0221,양평,11.5
2024,0222,양평,2.5
2024,0223,양평,0.1
2024,0224,양평,2
2024,0225,양평,2.3
2024,0303,양평,1.2
2024,0307,양평,1.3
2024,0312,양평,0.2
2024,0319,양평,0.5
2024,0322,양평,4.8
2024,0323,양평,0.9
2024,0325,양평,4.2
2024,0326,양평,10.9
2024,0328,양평,2.2
2024,0329,양평,1.5
2024,0403,양평,4
2024,0411,양평,0.1
2024,0415,양평,21.9
2024,0416,양평,1.7
2024,0420,양평,5.5
2024,0424,양평,14.9
2024,0505,양평,42.3
2024,0506,양평,7.6
2024,0507,양평,0.5
2024,0511,양평,17.5
2024,0515,양평,24.9
2024,0516,양평,0.8
2024,0526,양평,13.4
2024,0601,양평,1.7
2024,0602,양평,0.3
2024,0608,양평,18.9
2024,0609,양평,0.1
2024,0615,양평,2.6
2024,0622,양평,30.7
2024,0623,양평,22.2
2024,0629,양평,35.3
2024,0630,양평,22.8
2024,0702,양평,71.1
2024,0703,양평,9
2024,0704,양평,8.5
2024,0705,양평,5.5
2024,0706,양평,6.6
2024,0707,양평,1.1
2024,0708,양평,19.1
2024,0709,양평,1.6
2024,0710,양평,21.6
2024,0714,양평,14.3
2024,0716,양평,21.7
2024,0717,양평,27.8
2024,0718,양평,108
2024,0720,양평,11.9
2024,0721,양평,2.2
2024,0722,양평,4.4
2024,0723,양평,66.7
2024,0724,양평,21.8
2024,0725,양평,34.8
2024,0726,양평,1.5
2024,0727,양평,5.4
2024,0802,양평,1.6
2024,0805,양평,38.6
2024,0807,양평,20
2024,0808,양평,1.4
2024,0810,양평,1.9
2024,0815,양평,0.5
2024,0817,양평,0.1
2024,0821,양평,33.7
2024,0822,양평,2.1
2024,0827,양평,0.1
2024,0902,양평,0.3
2024,0905,양평,9.1
2024,0906,양평,11.7
2024,0911,양평,32.3
2024,0912,양평,66.2
2024,0913,양평,2.6
2024,0914,양평,0.4
2024,0918,양평,1.5
2024,0920,양평,36.5
2024,0921,양평,38.8
2024,1001,양평,1.8
2024,1003,양평,0.5
2024,1015,양평,6.5
2024,1018,양평,51.3
2024,1019,양평,8.9
2024,1021,양평,0.7
2024,1022,양평,31.6
2024,1023,양평,3.7
2024,1104,양평,2.3
2024,1116,양평,1.7
2024,1126,양평,36
2024,1127,양평,21.5
2024,1128,양평,9.2
2024,1130,양평,1
2024,1201,양평,0.3
2024,1205,양평,0.4
2024,1220,양평,0.6
2024,1221,양평,4.5
2024,1225,양평,0.1
2024,1231,양평,0.1
2025,0105,양평,2.6
2025,0106,양평,2.7
2025,0113,양평,0.4
2025,0114,양평,3.8
2025,0127,양평,8
2025,0128,양평,4
2025,0131,양평,2.2
2025,0206,양평,1.5
2025,0207,양평,0.2
2025,0212,양평,2.6
2025,0301,양평,0.3
2025,0302,양평,12.2
2025,0303,양평,7.2
2025,0304,양평,3.2
2025,0316,양평,2.9
2025,0318,양평,5.2
2025,0327,양평,0.5
2025,0329,양평,1
2025,0330,양평,0.4
2025,0402,양평,2.5
2025,0405,양평,23.9
2025,0406,양평,1.2
2025,0412,양평,11.9
2025,0413,양평,4.9
2025,0414,양평,4.6
2025,0419,양평,3.7
2025,0422,양평,20
2025,0501,양평,15.1
2025,0503,양평,9.5
2025,0509,양평,13.9
2025,0510,양평,5.1
2025,0515,양평,0.6
2025,0516,양평,26
2025,0517,양평,0.4
2025,0519,양평,1.2
2025,0520,양평,0.5
2025,0522,양평,0.6
2025,0523,양평,1.6
2025,0524,양평,4.3
2025,0528,양평,0.3
2025,0613,양평,1.2
2025,0615,양평,0.8
2025,0616,양평,10.7
2025,0617,양평,0.1
2025,0620,양평,73
2025,0621,양평,0.8
2025,0624,양평,4.1
2025,0625,양평,7.5
2025,0626,양평,0.2
2025,0628,양평,0.3
2025,0701,양평,10.7
2025,0708,양평,10.1
2025,0713,양평,0.8
2025,0714,양평,19.1
2025,0715,양평,9.5
2025,0716,양평,47.2
2025,0717,양평,67.1
2025,0718,양평,5.8
2025,0719,양평,94.9
2025,0720,양평,3.2
2025,0721,양평,0.2
2025,0722,양평,13.9
2025,0803,양평,3.4
2025,0804,양평,4.7
2025,0806,양평,33.6
2025,0809,양평,0.7
2025,0813,양평,49.2
2025,0814,양평,108.6
2025,0818,양평,0.3
2025,0825,양평,1.3
2025,0826,양평,54.8
2025,0828,양평,0.3
2025,0830,양평,47.4
2025,0831,양평,1.8
2025,0901,양평,3.5
2025,0904,양평,74.7
2025,0905,양평,0.3
2025,0906,양평,26.7
2025,0907,양평,0.7
2025,0909,양평,0.1
2025,0912,양평,13.5
2025,0913,양평,63.6
2025,0916,양평,20.1
2025,0917,양평,60.4
2025,0919,양평,5.6
2025,0920,양평,71.4
2025,0924,양평,11
2025,0925,양평,0.1
2025,0928,양평,33.1
2025,1003,양평,2
2025,1004,양평,4.7
2025,1005,양평,2.3
2025,1006,양평,31.1
2025,1007,양평,5.7
2025,1010,양평,20.5
2025,1011,양평,13.7
2025,1012,양평,0.1
2025,1013,양평,29.2
2025,1014,양평,0.2
2025,1015,양평,3
2025,1016,양평,7.1
2025,1017,양평,8.7
2025,1018,양평,12.2
2025,1101,양평,1.5
2025,1102,양평,0.5
2025,1125,양평,8.4
2025,1127,양평,8.8
2025,1204,양평,2.4
2025,1211,양평,18.1
2025,1213,양평,9.2


